ClassIdx,ClassName,Mean,Std,Threshold,Samples
83,Carcina quercana,12.109683380126953,1.7821557971880693,7.65,25
84,Cataclysta lemnata,14.276288598775864,2.4818522716463796,8.07,32
85,Catocala fraxini,11.811248750686646,2.2538932850678224,6.18,50
86,Catocala nupta,12.088185556007154,1.3694178414694418,8.66,33
87,Catocala promissa,6.04913330078125,1.508936882019043,2.28,2
88,Catocala sponsa,6.456501007080078,0.0,6.46,1
89,Catoptria falsella,10.381064057350159,1.5869156902977941,6.41,44
90,Catoptria margaritella,10.605752754211426,0.7333492183649635,8.77,5
91,Catoptria pinella,11.486989511383904,1.2288365944109914,8.41,72
92,Catoptria verellus,11.50695594096433,1.4868210987727495,7.79,287
93,Celaena haworthii,10.102791786193848,0.0,10.1,1
94,Celypha striana,7.702906211217244,0.5836642982359581,6.24,6
